Order ID,Date,Customer_Name,Product,Category,Quantity,Price,City,Discount,Payment Mode,Order Status,Salesperson,Profit,Shipping Cost,Remarks
ORD1000,2024-12-18,Mary Foster,OnePlus 11,Tablet,4,146866,Delhi,16%,Cash,Cancelled,Sarah,15832,611,Fragile
ORD1001,2024-05-24,Paul Hall,Fitbit Charge,Smartwatch,3,67909,Kolkata,6%,Net Banking,Delayed,John,3175,916,-
ORD1002,2024-08-17,Shannon Rios,Fitbit Charge,Tablet,1,133269,Kolkata,12%,Net Banking,Delayed,John,519,452,Late delivery
ORD1003,2024-12-15,Peter Perry,Galaxy Tab,Tablet,2,147906,Chennai,12%,Debit Card,Cancelled,John,-1942,119,Late delivery
ORD1004,2025-04-07,Tina Smith,Fitbit Charge,Accessories,1,126124,Mumbai,1%,Credit Card,Cancelled,Sarah,-1944,822,-
ORD1005,2024-07-20,Michelle Hill,AirPods Pro,Tablet,1,107653,Chennai,0%,Cash,Delayed,Priya,-1604,722,-
ORD1006,2024-06-16,Elizabeth Coleman,iPhone 13,Smartwatch,3,112705,Mumbai,14%,Net Banking,Delayed,Priya,3291,130,Urgent
ORD1007,2024-11-17,Jacob Nelson,OnePlus 11,Laptop,5,39529,Delhi,16%,Cash,Pending,Priya,11921,596,Late delivery
ORD1008,2025-04-14,Jason Washington DDS,AirPods Pro,Laptop,1,80753,Chennai,10%,Credit Card,Cancelled,Arjun,2265,178,No stock
ORD1009,2024-07-01,Natasha Taylor,OnePlus 11,Tablet,1,89857,Bengaluru,5%,Net Banking,Delivered,Sarah,-1236,359,Late delivery
ORD1010,2025-01-12,Bryan Wallace,Galaxy Tab,Laptop,5,21104,Bengaluru,13%,Credit Card,Delivered,Riya,18205,490,No stock
ORD1011,2025-01-24,Michael Bautista,Fitbit Charge,Tablet,3,136670,Mumbai,0%,Debit Card,Pending,David,11945,290,Late delivery
ORD1012,2024-09-23,Glenda Jones,iPhone 13,Smartwatch,4,107893,Kolkata,13%,UPI,Cancelled,Riya,17083,695,Urgent
ORD1013,2024-09-20,Charles Reynolds,iPhone 13,Accessories,2,70233,Chennai,8%,Net Banking,Pending,John,14424,661,No stock
